text_clean,english,sentiment
kacau tangkap hina nista,chaotic capture nista,0
ngeres akun bahaya tindak jahat jahat,ngeres the account of the danger of evil acts,-1
main main retas akun blokir instagram facebook whatsapp,Play Playing Retas Instagram Facebook Whatsapp Instagram Account,0
hacker bantu negara palestina negara perintah suruh,Hacker Assisting the State of the State of the State Orders,0
penjarain antek israel bawa polisi tangkap,Israeli Antek Prison Bring Police Catching Police,1
perang idf bohong warga negara tembak konser pakai temu terowongan hamas tangki tampung bahan bakar kalender rumah rumah sakit bahasa arab emnk bukti pintar tentara idf jago fitnah,idf war lying citizen to shoot concerts using a Hamas tunnel gathering tank Tank Tampung Fuel Calendar Housing Arabic Hospital EMNK Evidence of Smart Evidence of Idf Soldier,1
rakyat pro zionis tindas rakyat,Pro Zionist People Take People People,0
hoakkasur bermerk bagusmana prajurit hamas rakyat gaza pakai kasur bermerk,Hoakkasur branded Bagusmana Hamas Rakyat Gaza Warrior Wear Berkage Mattress,0
terima kasih dark jokesnya,Thank you Dark Jokes,-1
alas hancur rumah warga anak rumah sakit hancur kaum dajjal bela pembaintaian musnah jajah,"Alas Destroyed by the house of a hospital for a hospital, destroyed",-1
israel informasi kitab suci pelintir,Israel Information on the Scriptures of Pelintir,0
bukti hamas letak israel,Proof of Hamas Location of Israel,0
bodoh percaya jajah,Stupid Believe Jajah,-1
hamas israel,Hamas Israel,0
sctv good tonton bodoh paham fakta,SCTV Good Tonton Stupid Understanding Facts,-1
all drama,All drama,0
bingung cari tarik simpati publik panik panik,Confused looking for a Panic Space Panic Panic,-1
bela israel hati trbentuk api,Bela Israel Heart Forms Fire,0
bosan isrul bohong asa ember kosong,Tired of Isrul Lying the Empty Bucket,-1
humas bodoh tangkap,Stupid Public Relations Catch,-1
cerita,story,0
video abu janda monik kawan kawan,Video of Abu Widow Monik Friend,0
senjata yahudi hamas,Hamas Jewish weapons,0
bohong,Lie,0
mempan dasar fitnah dajal,Basic Disjal Flander,0
drama rumah kosong naruh roket,empty house drama,-1
percaya israel laknatullah laknatullah laknatullah jahanam,Believe Israel Laknatullah Laknatullah Laknatullah Jahanam,0
media pro israel tutup buka warung nasi sajasbb propaganda barat israel luas dukung media pro,Media Pro Israel CLOSE OPENING WARUNG RAY SAJASBB PROPAGANDA WEST ISRAEL SUPPORT TO SUPPORT MEDIA PRO,-1
fitnah habis,slander runs out,0
senjata bekas pakai curi tentara syahid,used weapons for use of martyr army,0
hoaks,hoaks,0
taruh barang ranjang markas tanah,Put the Land Headquarters Bed,0
habis hamas lindung warga sipil palestina,After Hamas Protected by Palestinian Civilians,0
istael bohong publik israel bunuh pegawai publik israel adil mahkama internasional fakta,Istael Israeli public lies kill Israeli public employees Adil Mahkama International Facts,0
tutup benci otak mabuk agama paham tempurung,CLOSE HATE RELIGION BRAINS,-1
cepat zionis israel laknatullah azab allah azza wajalla,Fast Zionist Israel Laknatullah Azab Allah Azza Wajalla,1
hoaks zionis israel laknatullah dunia percaya,Israeli Zionist Hoaks Laknatullah World Believe,0
sampah babi anjing,Dog pork waste,-1
hamas warga negara palestina keras negara hamas teroris perang negara curi zionis israel,Hamas Hard Palestinian Citizen Hamas State Terrorist War State State Israeli Zionist,-1
drama queen tentara israel,Israeli Army Queen Drama,0
dobos makan hari dulu lawan teroris beda teroris luuuu habis anak anak gaza kau musnah duduk asli gaza kau cerita alibi citra gemas,Dobos ate for the first time the terrorist opponents are different terrorists after gaza children you destroy the original Gaza you tell the story of an alibi image of exasperation,1
akun septic tank salah rumah sakit disangka trowongan hamas,Septic Tank Account Wrong Hospital Suspected Hamas Trrowongan,-1
cerobong sadar cerobong,Chimney conscious chimney,1
drama fitnah zionis,Zionist slander drama,0
admin percaya,Admin believes,0
publik anjing,dog public,0
ampun bikin skenario real,Forgiveness Make Real Scenarios,1
buzzer detected,buzzer detected,0
kaum wahyudi terlaknat main korban,The Wahyudi is the victim to play the victim,-1
dasar orowodol bani izrail,Basic Olowodol Bani Izrail,0
bual,Bual,0
hoaks idf,IDF hoaks,0
dasar tukang fitnah,Basic slander,0
israel,Israel,0
israel media bodoh percaya,Israel Stupid Media Believe,-1
fitnah yahudi,Jewish slander,0
hamas klarifikasi tonton fanatik hamas,Hamas clarifying Hamas fanatical watch,0
mempan fitnah atas bantai anak wanita utama rakyat sipil atas bunuh dosa biadab jajah halal allah lindung juang palestina rakyat palestina,"Slander with slaughter of the main girls of civilians for killing the barbaric sin of the halal jajah of Allah, the Palestinian people",1
cctv listrik putus israel dirusakin,Israeli Decided Electric CCTV Dirusakin,0
percaya media israel bohong publik,Believe Israeli Media Lying Public,0
bukti dajjal,Dajjal proof,0
keluarga laknat allah,the family of Allah,0
pro zionis percaya merekatanpa bantah bukti rakyat dunia otak sehat,Pro Zionists believe that they deny the proof of the people of the world of healthy brains,1
ban bukti percaya,Tire proof of trust,0
bukti cctv rumah sakit rumah sakit lembaga israel temu sila ban bukti opini percaya ctv rumah sakit pakai ngerekam,Proof of CCTV Hospital Hospital Israel Institution Meeting Sila Tire Proof of Opinion Trusting CTV Hospitals Use Ngekam,0
